"ID","group","pai","tr1","tr2","tr3","tr4","tr5","tr6","tr7","tr8","tr9","tr10","tr11","tr12","tr13","tr14","tr15","tr16","tr17","tr18","tr19","tr20","tr21","tr22","tr23","tr24","tr25","tr26","tr27","tr28","tr29","tr30"
67,"Pai",6,35,38,28,26,30,26,24,22,25,15,32,23,17,26,20,37,34,35,30,30,35,32,38,23,23,27,31,28,23,22
68,"Pai",4,37,37,36,38,40,39,31,47,35,42,39,39,43,48,48,51,42,47,40,52,51,46,47,49,54,49,44,42,44,33
69,"Pai",6,44,44,43,45,42,39,38,42,41,43,44,40,36,43,45,42,46,53,52,52,48,41,48,50,45,43,46,38,46,47
70,"Pai",6,47,40,40,40,41,42,41,39,33,43,47,43,43,46,42,49,50,46,48,46,50,46,43,51,46,44,45,42,49,44
71,"Pai",2,42,35,38,40,40,42,30,30,43,35,42,40,42,57,38,39,40,42,36,19,22,26,39,30,30,52,36,37,54,58
72,"Pai",6,44,45,43,38,42,47,39,31,34,49,49,46,48,46,44,57,49,56,56,55,58,59,53,49,53,42,51,55,55,55
73,"Pai",6,53,52,48,48,51,47,42,44,43,48,49,48,47,46,53,58,51,51,61,58,52,51,60,50,60,49,49,51,54,59
74,"Pai",4,54,55,47,49,47,51,44,48,52,50,50,51,47,54,56,58,59,59,63,63,59,59,58,55,58,59,59,52,55,55
75,"Pai",6,57,37,52,42,53,38,48,34,46,41,44,44,53,32,52,59,37,59,42,56,37,60,36,51,30,36,34,36,30,49
76,"Pai",4,57,40,44,56,54,46,48,52,47,51,53,51,56,51,52,56,46,60,55,60,58,59,59,60,57,57,59,56,62,61
77,"Pai",3,58,50,41,52,50,52,47,51,46,56,49,51,47,58,55,61,55,59,50,65,64,64,65,61,62,60,61,56,60,63
78,"Pai",6,58,54,56,55,54,61,51,54,49,54,54,61,58,60,58,73,70,72,73,71,72,73,76,64,70,59,59,61,65,56
79,"Pai",1,65,65,60,58,60,56,47,47,51,56,56,58,53,54,53,70,60,67,61,66,65,60,65,65,57,64,63,59,64,62
80,"Pai",2,67,64,50,53,56,56,58,58,61,60,58,67,56,60,62,75,66,69,73,67,66,67,64,60,67,62,62,60,60,68
81,"Pai",4,61,57,47,52,48,46,45,42,47,46,52,48,54,54,52,61,54,59,53,66,55,56,52,54,40,51,45,40,50,63
82,"Pai",6,60,44,47,50,49,46,40,41,45,46,44,47,48,52,54,62,51,51,59,52,52,56,51,51,54,53,46,47,49,58
83,"Pai",6,63,51,48,43,47,38,36,42,46,44,45,48,41,37,42,67,55,52,50,45,57,50,59,48,52,50,45,61,43,38
84,"Pai",2,63,61,60,56,50,56,45,56,48,54,54,56,52,57,53,78,67,69,65,70,64,58,59,59,57,56,66,59,56,58
85,"Pai",4,73,66,64,59,51,53,55,56,58,59,61,57,63,65,63,81,78,74,80,78,82,78,79,77,71,71,75,74,74,77
86,"Pai",6,72,68,70,66,66,48,59,65,67,68,68,61,67,58,71,85,77,82,86,81,80,70,71,79,79,60,71,65,65,75
87,"Pai",4,69,68,68,68,67,67,63,58,59,57,58,60,61,69,65,82,78,81,83,82,78,76,69,71,72,75,75,72,73,75
88,"Pai",1,67,68,70,65,60,67,63,65,66,65,68,70,56,78,66,73,79,78,75,77,74,75,72,69,76,73,74,73,76,76
89,"Pai",6,51,39,43,38,46,52,31,41,51,48,51,42,52,49,49,61,43,55,58,52,48,50,52,51,47,46,52,49,44,53
90,"Pai",6,64,57,56,49,47,49,49,47,47,44,43,51,48,52,49,76,64,62,61,59,58,55,58,52,57,50,55,51,52,49
91,"Pai",6,78,67,61,58,53,59,51,43,42,48,68,68,65,40,49,90,68,68,68,72,76,72,73,71,68,77,73,66,70,69
92,"Pai",6,43,42,42,33,38,47,34,35,33,38,41,38,45,46,47,58,49,65,55,58,50,48,51,48,46,43,43,46,47,47
93,"Pai",4,81,78,81,86,77,76,65,69,72,76,77,79,81,79,89,91,85,86,87,84,86,84,83,80,84,85,86,85,85,89
94,"Pai",6,80,76,74,72,72,75,70,70,66,71,62,68,73,74,72,93,83,87,83,79,81,78,73,74,73,76,80,77,76,75
95,"Pai",6,92,86,85,73,67,75,73,69,75,71,71,65,78,82,84,109,100,98,100,91,96,89,88,85,89,85,89,86,83,87
96,"Pai",6,91,70,68,60,61,63,55,66,63,65,64,72,67,68,71,95,87,84,84,87,81,77,84,80,77,73,68,68,69,68
